127.0.0.1 - - [12/Sep/2018:12:35:20 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:21 +0900] "GET /08_servletjsp/jsp/main/main.do HTTP/1.1" 200 2323
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:21 +0900] "GET /08_servletjsp/jsp/main/main-login-signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:21 +0900] "GET /08_servletjsp/css/menubar-style.css;jsessionid=42E18C1A8C32F2E859324AE5B5867655 HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:30 +0900] "GET /08_servletjsp/jsp/signup/signup-form.do;jsessionid=42E18C1A8C32F2E859324AE5B5867655 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:30 +0900] "GET /08_servletjsp/jsp/main/main.do HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:30 +0900] "GET /08_servletjsp/css/menubar-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:36 +0900] "GET /08_servletjsp/jsp/signup/signup-form.do HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:35:37 +0900] "GET /08_servletjsp/jsp/signup/signup-form-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:12:49:34 +0900] "GET /08_servletjsp/jsp/signup/signup-form.do HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:18:19 +0900] "GET /08_servletjsp/jsp/signup/signup-form.do HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:18:41 +0900] "POST /08_servletjsp/jsp/login/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:18:41 +0900] "GET /08_servletjsp/servlet/eljstlboard/list.do HTTP/1.1" 200 6525
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:18:44 +0900] "GET /08_servletjsp/jsp/signup/signup-form.do HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:19:13 +0900] "POST /08_servletjsp/jsp/login/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:19:13 +0900] "GET /08_servletjsp/servlet/eljstlboard/list.do HTTP/1.1" 200 6525
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:19:35 +0900] "GET /08_servletjsp/jsp/signup/signup-form.do HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [12/Sep/2018:14:20:00 +0900] "POST /08_servletjsp/jsp/login/login.do HTTP/1.1" 302 -
